"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5","5","0.1uF","","","","Board_SparkFun_HX711_Load_Cell:0603-CAP",""
"C6,C7","2","10uF","","","","Board_SparkFun_HX711_Load_Cell:1210",""
"C8","1",".1uF","","","","Board_ADXL362_BOB_v01:0402-CAP",""
"IC1","1","MP2307","","","","MP2307:SO8-TH",""
"J1,JP4","2","M05PTH","","","","Board_SparkFun_HX711_Load_Cell:1X05",""
"J2,J3","2","Conn_01x04_Pin","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"JP2","1","M02PTH","","","","Board_SparkFun_HX711_Load_Cell:1X02",""
"L1","1","3.3uH","","","","Board_SparkFun_HX711_Load_Cell:0805",""
"Q1","1","MMBT4403","","","","Board_SparkFun_HX711_Load_Cell:SOT23-3",""
"R1","1","20k","","","","Board_SparkFun_HX711_Load_Cell:0603-RES",""
"R2","1","8.2K","","","","Board_SparkFun_HX711_Load_Cell:0603-RES",""
"R3,R4","2","100","","","","Board_SparkFun_HX711_Load_Cell:0603-RES",""
"R5","1","10K","","","","Board_SparkFun_HX711_Load_Cell:0603-RES",""
"SJ2","1","JUMPER-PAD-2-NC_BY_TRACE","","","","Board_SparkFun_HX711_Load_Cell:PAD-JUMPER-2-NC_BY_TRACE_YES_SILK",""
"U1","1","ESP32-S3-WROOM-1U","","","","ESP32-S3-WROOM-1:XCVR_ESP32-S3-WROOM-1U",""
"U2","1","HX711","","","","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","https://web.archive.org/web/20220615044707/https://akizukidenshi.com/download/ds/avia/hx711.pdf"
"U3","1","ADXL362","","","","ADXL362:LGA-16-3X2.5",""
"U4","1","BME280","","","","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf"
"U5","1","TP5100","","","","TP5100:QFN65P400X400X90-17N",""
